Fréquence (Hz)	Niveau (dB)
7945.312500	-72.052979
7968.750000	-73.927917
7992.187500	-75.721268
8015.625000	-72.445084
8039.062500	-70.936737
8062.500000	-69.772690
8085.937500	-71.134216
8109.375000	-70.061226
8132.812500	-68.800392
8156.250000	-69.735840
8179.687500	-69.722160
8203.125000	-69.498756
8226.562500	-71.346123
8250.000000	-73.587929
8273.437500	-79.342339
8296.875000	-85.090202
8320.312500	-87.727448
8343.750000	-91.841125
8367.187500	-98.715012
8390.625000	-106.990143
8414.062500	-112.352348
8437.500000	-118.990967
8460.937500	-123.424713
8484.375000	-125.299362
8507.812500	-129.585968
8531.250000	-131.452423
8554.687500	-134.180420
8578.125000	-136.909409
8601.562500	-137.977997
8625.000000	-142.298050
8648.437500	-140.726242
8671.875000	-142.130280
8695.312500	-145.599060
8718.750000	-144.966034
8742.187500	-139.807678
8765.625000	-137.319839
8789.062500	-139.209610
8812.500000	-138.105865
8835.937500	-140.304871
8859.375000	-146.545898
8882.812500	-151.081192
8906.250000	-150.776978
8929.687500	-153.716049
8953.125000	-149.962570
8976.562500	-148.109467
9000.000000	-145.197433
9023.437500	-146.910873
9046.875000	-151.104843
9070.312500	-150.888443
9093.750000	-148.175064
9117.187500	-146.118591
9140.625000	-147.203110
9164.062500	-147.113846
9187.500000	-143.769211
9210.937500	-140.762161
9234.375000	-141.230560
9257.812500	-148.002670
9281.250000	-146.593506
9304.687500	-147.898727
9328.125000	-146.114548
9351.562500	-145.530426
9375.000000	-149.216522
9398.437500	-146.698486
9421.875000	-144.186310
9445.312500	-143.077560
9468.750000	-141.857361
9492.187500	-143.696884
9515.625000	-138.151611
9539.062500	-140.794693
9562.500000	-146.199158
9585.937500	-144.912766
9609.375000	-147.511475
9632.812500	-149.690094
9656.250000	-152.898117
9679.687500	-154.669113
9703.125000	-147.445618
9726.562500	-144.492920
9750.000000	-146.147278
9773.437500	-151.146347
9796.875000	-151.750015
9820.312500	-153.103546
9843.750000	-151.627838
9867.187500	-150.154480
9890.625000	-148.350937
9914.062500	-143.746063
9937.500000	-142.706711
9960.937500	-139.272202
9984.375000	-137.874878
10007.812500	-146.263245
10031.250000	-148.848267
10054.687500	-148.075821
10078.125000	-145.878922
10101.562500	-145.235611
10125.000000	-146.796310
10148.437500	-148.410446
10171.875000	-146.794891
10195.312500	-143.656952
10218.750000	-142.637634
10242.187500	-141.205124
10265.625000	-135.488373
10289.062500	-137.393631
10312.500000	-142.897781
10335.937500	-142.174683
10359.375000	-147.272781
10382.812500	-153.775894
10406.250000	-153.507675
10429.687500	-152.019608
10453.125000	-148.100983
10476.562500	-146.159882
10500.000000	-148.127457
10523.437500	-146.350922
10546.875000	-146.396530
10570.312500	-149.226501
10593.750000	-149.536880
10617.187500	-148.410492
10640.625000	-148.761902
10664.062500	-146.774323
10687.500000	-142.150497
10710.937500	-133.366180
10734.375000	-131.795639
10757.812500	-137.998856
10781.250000	-141.391006
10804.687500	-140.478745
10828.125000	-143.986435
10851.562500	-146.912262
10875.000000	-148.138382
10898.437500	-148.430573
10921.875000	-147.865723
10945.312500	-145.803833
10968.750000	-145.502106
10992.187500	-146.056595
11015.625000	-147.582977
11039.062500	-147.407883
11062.500000	-144.985992
11085.937500	-143.979965
11109.375000	-146.395615
11132.812500	-149.256577
11156.250000	-153.466965
11179.687500	-151.988205
11203.125000	-147.134583
11226.562500	-147.491806
11250.000000	-148.271072
11273.437500	-149.932495
11296.875000	-151.248825
11320.312500	-150.635010
11343.750000	-149.978790
11367.187500	-150.518326
11390.625000	-149.385239
11414.062500	-145.025711
11437.500000	-141.376999
11460.937500	-140.743088
11484.375000	-142.555771
11507.812500	-148.476410
11531.250000	-150.027771
11554.687500	-147.773972
11578.125000	-145.751373
11601.562500	-146.167603
11625.000000	-148.868927
11648.437500	-148.682480
11671.875000	-145.424835
11695.312500	-145.715622
11718.750000	-147.923508
11742.187500	-142.917831
11765.625000	-136.202850
11789.062500	-138.493469
11812.500000	-139.432816
11835.937500	-141.691956
11859.375000	-147.160568
11882.812500	-149.487686
11906.250000	-148.730194
11929.687500	-145.733963
11953.125000	-148.443573
11976.562500	-152.374741
